label,Type,Value
Derry,Social Rented,18542
Down,Social Rented,5150
Dungannon,Social Rented,4166
Fermanagh,Social Rented,4340
Larne,Social Rented,2848
Limavady,Social Rented,3114
Lisburn,Social Rented,15398
Magherafelt,Social Rented,2556
Moyle,Social Rented,1780
Newry and Mourne,Social Rented,7180
Newtownabbey,Social Rented,8962
North Down,Social Rented,6552
Omagh,Social Rented,3626
Strabane,Social Rented,4676
Darlington,Private Rent/Rent Free,17488
County Durham,Private Rent/Rent Free,59106
Hartlepool,Private Rent/Rent Free,12496
Middlesbrough,Private Rent/Rent Free,19999
Northumberland,Private Rent/Rent Free,39393
Redcar and Cleveland,Private Rent/Rent Free,15510
Stockton-on-Tees,Private Rent/Rent Free,21441
Gateshead,Private Rent/Rent Free,23060
Newcastle upon Tyne,Private Rent/Rent Free,46177
North Tyneside,Private Rent/Rent Free,23408
South Tyneside,Private Rent/Rent Free,14091
Sunderland,Private Rent/Rent Free,29993
Blackburn with Darwen,Private Rent/Rent Free,18872
Blackpool,Private Rent/Rent Free,34249
Cheshire East,Private Rent/Rent Free,41693
Cheshire West and Chester,Private Rent/Rent Free,37175
Halton,Private Rent/Rent Free,10965
Warrington,Private Rent/Rent Free,19819
Cumbria,Private Rent/Rent Free,60589
Bolton,Private Rent/Rent Free,33701
Bury,Private Rent/Rent Free,22542
Manchester,Private Rent/Rent Free,119581
Oldham,Private Rent/Rent Free,23118
Rochdale,Private Rent/Rent Free,24372
Salford,Private Rent/Rent Free,40523
Stockport,Private Rent/Rent Free,28908
Tameside,Private Rent/Rent Free,26221
Trafford,Private Rent/Rent Free,24990
Wigan,Private Rent/Rent Free,33568
Lancashire,Private Rent/Rent Free,156354
Knowsley,Private Rent/Rent Free,12760
Liverpool,Private Rent/Rent Free,99277
Sefton,Private Rent/Rent Free,32870
St. Helens,Private Rent/Rent Free,16496
Wirral,Private Rent/Rent Free,45973
East Riding of Yorkshire,Private Rent/Rent Free,41513
"Kingston upon Hull, City of",Private Rent/Rent Free,47656
North East Lincolnshire,Private Rent/Rent Free,25960
North Lincolnshire,Private Rent/Rent Free,19950
York,Private Rent/Rent Free,30995
North Yorkshire,Private Rent/Rent Free,90957
Barnsley,Private Rent/Rent Free,27306
Doncaster,Private Rent/Rent Free,39680
Rotherham,Private Rent/Rent Free,26347
Sheffield,Private Rent/Rent Free,73763
Bradford,Private Rent/Rent Free,75138
Calderdale,Private Rent/Rent Free,30294
Kirklees,Private Rent/Rent Free,56968
Leeds,Private Rent/Rent Free,119766
Wakefield,Private Rent/Rent Free,33361
Derby,Private Rent/Rent Free,35585
Leicester,Private Rent/Rent Free,57910
Nottingham,Private Rent/Rent Free,60090
Rutland,Private Rent/Rent Free,4934
Derbyshire,Private Rent/Rent Free,84085
Leicestershire,Private Rent/Rent Free,66790
Lincolnshire,Private Rent/Rent Free,100264
Northamptonshire,Private Rent/Rent Free,88192
Nottinghamshire,Private Rent/Rent Free,92365
"Herefordshire, County of",Private Rent/Rent Free,25779
Shropshire,Private Rent/Rent Free,41129
Stoke-on-Trent,Private Rent/Rent Free,32669
Telford and Wrekin,Private Rent/Rent Free,20772
Staffordshire,Private Rent/Rent Free,84529
Warwickshire,Private Rent/Rent Free,67965
Birmingham,Private Rent/Rent Free,153993
Coventry,Private Rent/Rent Free,54551
Dudley,Private Rent/Rent Free,26141
Sandwell,Private Rent/Rent Free,33897
Solihull,Private Rent/Rent Free,17638
Walsall,Private Rent/Rent Free,26558
Wolverhampton,Private Rent/Rent Free,28753
Worcestershire,Private Rent/Rent Free,62711
Bedford,Private Rent/Rent Free,21068
Central Bedfordshire,Private Rent/Rent Free,26413
Luton,Private Rent/Rent Free,34410
Peterborough,Private Rent/Rent Free,29191
Southend-on-Sea,Private Rent/Rent Free,33548
Thurrock,Private Rent/Rent Free,18042
Cambridgeshire,Private Rent/Rent Free,83998
Essex,Private Rent/Rent Free,153761
Hertfordshire,Private Rent/Rent Free,123378
Norfolk,Private Rent/Rent Free,117430
Suffolk,Private Rent/Rent Free,102071
Camden,Private Rent/Rent Free,64631
City of London,Private Rent/Rent Free,3365
Hackney,Private Rent/Rent Free,60156
Hammersmith and Fulham,Private Rent/Rent Free,52358
Haringey,Private Rent/Rent Free,65672
Islington,Private Rent/Rent Free,51660
Kensington and Chelsea,Private Rent/Rent Free,58666
Lambeth,Private Rent/Rent Free,77659
Lewisham,Private Rent/Rent Free,57591
Newham,Private Rent/Rent Free,70369
Southwark,Private Rent/Rent Free,58488
Tower Hamlets,Private Rent/Rent Free,67180
Wandsworth,Private Rent/Rent Free,83990
Westminster,Private Rent/Rent Free,87201
Barking and Dagenham,Private Rent/Rent Free,25320
Barnet,Private Rent/Rent Free,71895
Bexley,Private Rent/Rent Free,21875
Brent,Private Rent/Rent Free,67916
Bromley,Private Rent/Rent Free,36009
Croydon,Private Rent/Rent Free,62510
Ealing,Private Rent/Rent Free,70198
Enfield,Private Rent/Rent Free,54885
Greenwich,Private Rent/Rent Free,41088
Harrow,Private Rent/Rent Free,37847
Havering,Private Rent/Rent Free,21453
Hillingdon,Private Rent/Rent Free,37312
Hounslow,Private Rent/Rent Free,45619
Kingston upon Thames,Private Rent/Rent Free,29253
Merton,Private Rent/Rent Free,39798
Redbridge,Private Rent/Rent Free,46487
Richmond upon Thames,Private Rent/Rent Free,35873
Sutton,Private Rent/Rent Free,25418
Waltham Forest,Private Rent/Rent Free,51208
Bracknell Forest,Private Rent/Rent Free,11988
Brighton and Hove,Private Rent/Rent Free,73477
Isle of Wight,Private Rent/Rent Free,22022
Medway,Private Rent/Rent Free,37399
Milton Keynes,Private Rent/Rent Free,34989
Portsmouth,Private Rent/Rent Free,43238
Reading,Private Rent/Rent Free,33412
Slough,Private Rent/Rent Free,25197
Southampton,Private Rent/Rent Free,49950
West Berkshire,Private Rent/Rent Free,18137
Windsor and Maidenhead,Private Rent/Rent Free,19999
Wokingham,Private Rent/Rent Free,14069
Buckinghamshire,Private Rent/Rent Free,54333
East Sussex,Private Rent/Rent Free,85433
Hampshire,Private Rent/Rent Free,143404
Kent,Private Rent/Rent Free,208347
Oxfordshire,Private Rent/Rent Free,94778
Surrey,Private Rent/Rent Free,128267
West Sussex,Private Rent/Rent Free,104346
Bath and North East Somerset,Private Rent/Rent Free,25912
Bournemouth,Private Rent/Rent Free,50227
"Bristol, City of",Private Rent/Rent Free,88599
Cornwall,Private Rent/Rent Free,81058
Isles of Scilly,Private Rent/Rent Free,684
North Somerset,Private Rent/Rent Free,29487
Plymouth,Private Rent/Rent Free,45240
Poole,Private Rent/Rent Free,21222
South Gloucestershire,Private Rent/Rent Free,30422
Swindon,Private Rent/Rent Free,29127
Torbay,Private Rent/Rent Free,27966
Wiltshire,Private Rent/Rent Free,63025
Devon,Private Rent/Rent Free,110097
Dorset,Private Rent/Rent Free,50959
Gloucestershire,Private Rent/Rent Free,82035
Somerset,Private Rent/Rent Free,70121
Isle of Anglesey,Private Rent/Rent Free,9397
Gwynedd,Private Rent/Rent Free,17477
Conwy,Private Rent/Rent Free,17886
Denbighshire,Private Rent/Rent Free,13608
Flintshire,Private Rent/Rent Free,14068
Wrexham,Private Rent/Rent Free,14518
Powys,Private Rent/Rent Free,18553
Ceredigion,Private Rent/Rent Free,13208
Pembrokeshire,Private Rent/Rent Free,15300
Carmarthenshire,Private Rent/Rent Free,19954
Swansea,Private Rent/Rent Free,32312
Neath Port Talbot,Private Rent/Rent Free,13444
Bridgend,Private Rent/Rent Free,15113
Vale of Glamorgan,Private Rent/Rent Free,16192
Cardiff,Private Rent/Rent Free,64502
Rhondda Cynon Taff,Private Rent/Rent Free,28684
Merthyr Tydfil,Private Rent/Rent Free,6070
Caerphilly,Private Rent/Rent Free,16664
Blaenau Gwent,Private Rent/Rent Free,8100
Torfaen,Private Rent/Rent Free,7022
Monmouthshire,Private Rent/Rent Free,8792
Newport,Private Rent/Rent Free,18025
Aberdeen City,Private Rent/Rent Free,36560
Aberdeenshire,Private Rent/Rent Free,21638
Angus,Private Rent/Rent Free,13012
Argyll and Bute,Private Rent/Rent Free,10889
Clackmannanshire,Private Rent/Rent Free,4002
Dumfries and Galloway,Private Rent/Rent Free,20201
Dundee City,Private Rent/Rent Free,26432
East Ayrshire,Private Rent/Rent Free,9354
East Dunbartonshire,Private Rent/Rent Free,5401
East Lothian,Private Rent/Rent Free,8734
East Renfrewshire,Private Rent/Rent Free,4448
City of Edinburgh,Private Rent/Rent Free,102154
Na h-Eileanan Siar,Private Rent/Rent Free,2031
Falkirk,Private Rent/Rent Free,10650
Fife,Private Rent/Rent Free,37680
Glasgow City,Private Rent/Rent Free,98684
Highland,Private Rent/Rent Free,25966
Inverclyde,Private Rent/Rent Free,8119
Midlothian,Private Rent/Rent Free,5537
Moray,Private Rent/Rent Free,10956
North Ayrshire,Private Rent/Rent Free,11856
North Lanarkshire,Private Rent/Rent Free,22415
Orkney Islands,Private Rent/Rent Free,2562
Perth and Kinross,Private Rent/Rent Free,20437
Renfrewshire,Private Rent/Rent Free,16705
Scottish Borders,Private Rent/Rent Free,15959
Shetland Islands,Private Rent/Rent Free,1942
South Ayrshire,Private Rent/Rent Free,11397
South Lanarkshire,Private Rent/Rent Free,24031
Stirling,Private Rent/Rent Free,9810
West Dunbartonshire,Private Rent/Rent Free,5829
West Lothian,Private Rent/Rent Free,14873
Antrim,Private Rent/Rent Free,6124
Ards,Private Rent/Rent Free,7493
Armagh,Private Rent/Rent Free,6666
Ballymena,Private Rent/Rent Free,7684
Ballymoney,Private Rent/Rent Free,3572
Banbridge,Private Rent/Rent Free,5344
Belfast,Private Rent/Rent Free,50390
Carrickfergus,Private Rent/Rent Free,4162
Castlereagh,Private Rent/Rent Free,5391
Coleraine,Private Rent/Rent Free,8715
Cookstown,Private Rent/Rent Free,4408
Craigavon,Private Rent/Rent Free,13760
Derry,Private Rent/Rent Free,14888
Down,Private Rent/Rent Free,9177
Dungannon,Private Rent/Rent Free,7719
Fermanagh,Private Rent/Rent Free,7478
Larne,Private Rent/Rent Free,4159
Limavady,Private Rent/Rent Free,4002
Lisburn,Private Rent/Rent Free,9683
Magherafelt,Private Rent/Rent Free,4824
Moyle,Private Rent/Rent Free,2283
Newry and Mourne,Private Rent/Rent Free,12825
Newtownabbey,Private Rent/Rent Free,7854
North Down,Private Rent/Rent Free,9159
Omagh,Private Rent/Rent Free,6805
Strabane,Private Rent/Rent Free,5090
